                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4752,                 5.5327,                 5.0422,                 4.1757,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.3279,                 5.2248,                  4.733,                 4.1565,              6.312e-05,              6.312e-05,              6.312e-05
                      2,                 3.4416,                 4.6799,                 4.9494,                  4.136,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.3182,                 5.2254,                 4.7195,                 4.1492,              0.0001302,              0.0001302,              0.0001302
                      3,                 3.3884,                 4.0876,                 4.8913,                 4.1151,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    3.3,                 5.1828,                 4.6821,                 4.1311,             0.00019592,             0.00019592,             0.00019592
                      4,                 3.4648,                 3.0535,                 4.7635,                 4.0589,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.2629,                 5.0252,                 4.6346,                  4.103,             0.00026029,             0.00026029,             0.00026029
                      5,                 3.4117,                 2.8186,                 4.5838,                 3.9744,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.2112,                 4.6006,                 4.6106,                 4.0685,             0.00032331,             0.00032331,             0.00032331
                      6,                 3.3946,                 2.7816,                 4.3497,                 3.8762,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.1884,                 3.5586,                  4.532,                 3.9971,             0.00038497,             0.00038497,             0.00038497
                      7,                 3.3023,                 2.6254,                  4.124,                 3.7809,                0.00216,                0.13877,                0.00693,                0.00244,                      0,                      0,                      0,                      0,                 3.1391,                 2.7571,                 4.1319,                 3.7983,             0.00044528,             0.00044528,             0.00044528
                      8,                 3.2993,                 2.6273,                 3.9812,                  3.712,                  0.144,                0.10268,                0.01692,                0.00648,                      0,                      0,                      0,                      0,                 3.0978,                 2.3615,                 4.2741,                 3.5162,             0.00048955,             0.00048955,             0.00048955
                      9,                 3.3018,                 2.6683,                 3.8276,                 3.6153,                0.16294,                0.07759,                0.02192,                0.00639,                      0,                      0,                      0,                      0,                 3.0315,                 2.3312,                 11.355,                 3.3661,             0.00048955,             0.00048955,             0.00048955
                     10,                 3.2529,                 2.5735,                 3.7874,                 3.6082,                0.01707,                0.18203,                0.02838,                0.00785,                      0,                      0,                      0,                      0,                 3.0778,                 2.2633,                 10.702,                 3.3457,             0.00048434,             0.00048434,             0.00048434
